ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime
5/10/2016,2,BLANCO,9,691,159,22,859,80.44,123.58
5/10/2016,3,SAN PEDRO SKIP,11,568,85,18,664,85.54,151.57
5/10/2016,4,SAN PEDRO Frequent,11,605,93,5,709,85.33,133.11
5/10/2016,5,McCULLOUGH,15,357,74,10,446,80.04,213.75
5/10/2016,6,US-281 Express,8,152,15,5,175,86.86,70.56
5/10/2016,7,SIGHTSEER SPECIAL,6,56,11,23,73,76.71,91.69
5/10/2016,8,N ST MARYS,13,355,92,98,460,77.17,141.74
5/10/2016,9,BROADWAY,10,284,39,33,333,85.29,131.22
5/10/2016,10,NACO/BROADWAY,5,244,86,49,335,72.84,212.35
5/10/2016,14,PERRIN BEITEL,12,510,134,21,656,77.74,151.71
5/10/2016,17,IH-35 Express,6,120,7,51,133,90.23,228.37
5/10/2016,20,NEW BRAUNFELS Frequent,27,648,76,5,751,86.28,126.81
5/10/2016,21,KIRBY / CONVERSE,26,293,82,96,401,73.07,138.84
5/10/2016,22,HAYS Frequent,6,363,31,5,400,90.75,139.07
5/10/2016,24,EAST HOUSTON Frequent,15,363,55,10,433,83.83,141.25
5/10/2016,25,E. COMMERCE Frequent,23,347,95,109,465,74.62,136.89
5/10/2016,26,MARTIN LUTHER KING,19,320,69,1,408,78.43,176.55
5/10/2016,28,PORTER,22,415,128,7,565,73.45,132.88
5/10/2016,30,RIGSBY,21,296,48,18,365,81.1,179.16
5/10/2016,32,STEVES AVE.,8,254,32,35,294,86.39,258.10
5/10/2016,34,SOUTH ST.MARY'S,14,505,82,16,601,84.03,137.95
5/10/2016,36,S.PRESA,11,245,66,9,322,76.09,138.26
5/10/2016,42,ROOSEVELT,15,447,74,33,536,83.4,97.71
5/10/2016,43,SOUTH FLORES,14,300,38,8,352,85.23,104.73
5/10/2016,44,PLEASANTON RD.,10,267,82,22,359,74.37,106.13
5/10/2016,46,COMMERCIAL,20,265,24,9,309,85.76,140.65
5/10/2016,48,IH-35 S Express,4,8,4,15,16,50,61.63
5/10/2016,51,NOGALITOS,24,366,56,24,446,82.06,201.47
5/10/2016,54,SOUTH ALAMO,1,66,46,3,113,58.41,194.31
5/10/2016,62,KIRK,14,251,43,6,308,81.49,268.71
5/10/2016,64,US 90 Express,17,164,35,54,216,75.93,124.42
5/10/2016,66,CERALVO Frequent,11,590,80,3,681,86.64,185.96
