route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10,1,10,NACO/BROADWAY,,3,,913493,000000
100,1,100,PRIMO FRED RD,,3,,363C74,000000
101,1,101,UTSA/LEON VALLEY BRT,,3,,363C74,000000
11,1,11,VIVA CULTURE,,3,,00B1B0,000000
14,1,14,PERRIN BEITEL SKIP,,3,,35B558,000000
16,1,16,JBSA EXPRESS FT. SAM HOUSTON / USO,,3,,F58220,000000
17,1,17,IH-35 Express,,3,,F58220,000000
2,1,2,BLANCO,,3,,E13C40,000000
20,1,20,NEW BRAUNFELS Frequent,,3,,E13C40,000000
202,1,202,BLANCO  2-LU,,3,,8CDC96,000000
204,1,204,SAN PEDRO/MCCULLOUGH 4-5 LU,,3,,8CDC96,000000
209,1,209,BROADWAY/NACOG. 9-10 LU,,3,,8CDC96,000000
21,1,21,KIRBY / CONVERSE,,3,,913493,000000
214,1,214,AUSTIN HWY/RAND. 14-17 LU,,3,,8CDC96,000000
22,1,22,HAYS Frequent,,3,,E13C40,000000
222,1,222,HAYS/E.HOUSTON 22-24 LU,,3,,8CDC96,000000
225,1,225,E.COMMERCE/M.L. KING 25-26 LU,,3,,8CDC96,000000
230,1,230,RIGSBY/PORTER 30-28 LU,,3,,8CDC96,000000
232,1,232,STEVES AVE/S.ST.MARYS 32-34 LU,,3,,8CDC96,000000
24,1,24,EAST HOUSTON Frequent,,3,,E13C40,000000
242,1,242,ROOSEVELT/S. PRESA  42-36 LU,,3,,8CDC96,000000
243,1,243,S.FLORES/PLEAS. 43-44 LU,,3,,8CDC96,000000
246,1,246,COMMERCIAL / IH35 S EXP. 46-48 LU,,3,,8CDC96,000000
25,1,25,E. COMMERCE Frequent,,3,,E13C40,000000
251,1,251,NOGALITOS / KIRK 51-62 LU,,3,,8CDC96,000000
26,1,26,MARTIN LUTHER KING,,3,,913493,000000
268,1,268,GUAD. ST/CERALVO 68-66 LU,,3,,8CDC96,000000
275,1,275,COMMERCE/LAREDO 75-67 LU,,3,,8CDC96,000000
276,1,276,COMMERCE/KLAC TRANSIT CTR. 76-64 LU,,3,,8CDC96,000000
277,1,277,MARTIN/RUIZ 77-79 LU,,3,,8CDC96,000000
28,1,28,PORTER,,3,,913493,000000
282,1,282,CULEBRA 82 LU,,3,,8CDC96,000000
288,1,288,BANDERA / EVERS RD 88-LU,,3,,8CDC96,000000
