route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,1,3231115,DOWNTOWN,,0,874752,165138,0,0
10,1,3231114,DOWNTOWN,,0,874746,165138,0,0
10,1,3231113,DOWNTOWN,,0,874750,165138,0,0
10,1,3231112,DOWNTOWN,,0,874749,165138,0,0
10,1,3231111,DOWNTOWN,,0,874752,165138,0,0
10,1,3231110,DOWNTOWN,,0,874747,165138,0,0
10,1,3231109,DOWNTOWN,,0,874746,165138,0,0
10,1,3231108,DOWNTOWN,,0,874750,165138,0,0
10,1,3231107,DOWNTOWN,,0,874749,165138,0,0
10,1,3231106,DOWNTOWN,,0,874748,165138,0,0
10,1,3231105,DOWNTOWN,,0,874752,165138,0,0
10,1,3231104,DOWNTOWN,,0,874747,165138,0,0
10,1,3231103,DOWNTOWN,,0,874746,165138,0,0
10,1,3231102,DOWNTOWN,,0,874750,165138,0,0
10,1,3231101,DOWNTOWN,,0,874749,165138,0,0
10,1,3231100,DOWNTOWN,,0,874748,165138,0,0
10,1,3231099,DOWNTOWN,,0,874752,165138,0,0
10,1,3231098,DOWNTOWN,,0,874747,165138,0,0
10,1,3231097,DOWNTOWN,,0,874751,165138,0,0
10,1,3231096,DOWNTOWN,,0,874746,165138,0,0
10,1,3231095,DOWNTOWN,,0,874750,165138,0,0
10,1,3231094,DOWNTOWN,,0,874749,165138,0,0
10,1,3231093,DOWNTOWN,,0,874748,165138,0,0
10,1,3231092,DOWNTOWN,,0,874752,165138,0,0
10,1,3231091,DOWNTOWN,,0,874747,165138,0,0
10,1,3231090,DOWNTOWN,,0,874751,165138,0,0
10,1,3231089,DOWNTOWN,,0,874746,165138,0,0
10,1,3231088,DOWNTOWN,,0,874750,165138,0,0
10,1,3231087,DOWNTOWN,,0,874749,165138,0,0
10,1,3231086,DOWNTOWN,,0,874748,165138,0,0
10,1,3231085,DOWNTOWN,,0,874747,165138,0,0
