ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount
5/10/2016,2,2-BLANCO RD.,1385.68,3291,1,0,1858,727,87.92,398
5/10/2016,3,3-SAN PEDRO,498.24,2189,0,0,1463,267,53.02,153
5/10/2016,4,4-SAN PEDRO,869.48,2805,0,0,1674,435,40.6,262
5/10/2016,5,5-MC CULLOUGH,398.23,1151,1,0,696,217,13.02,106
5/10/2016,6,6-US 281 Express,72.28,320,0,0,212,49,5.64,11
5/10/2016,7,7-FUNSTON,32.41,76,0,0,38,18,3.09,10
5/10/2016,8,8-N.ST.MARYS,424.81,1085,0,0,665,232,23.93,116
5/10/2016,9,9-BROADWAY,393.84,1190,0,0,790,212,19.52,109
5/10/2016,10,10-NACO./BROAD.,456.25,1435,0,0,903,238,17.24,124
5/10/2016,14,14-PERRIN BEITL,1124.1,2815,0,0,1709,642,37.14,262
5/10/2016,17,17-RANDOLPH P/R,142.53,950,0,0,581,83,12.72,23
5/10/2016,20,20-NEW BRAUNFELS,1274.43,4152,2,0,2545,667,57.04,360
5/10/2016,21,21-KIRBY,666.67,1537,0,0,876,365,25.95,148
5/10/2016,22,22-NOLAN,311.55,1168,1,0,750,169,28.11,100
5/10/2016,24,24-E.HOUSTON,542.91,1431,0,0,863,276,31.83,142
5/10/2016,25,25-EAST COMMERCE,688.53,1904,0,0,1085,391,53.65,192
5/10/2016,26,26-M.L. KING,392.06,1358,0,0,742,213,18.03,101
5/10/2016,28,28-PORTER,670.9,1724,0,0,999,378,34.65,172
5/10/2016,30,30-RIGSBY,408.6,1075,0,0,607,233,20.19,113
5/10/2016,32,32-STEVES AVENUE,473.9,1147,0,0,600,233,23.98,131
5/10/2016,34,34-S.ST.MARY'S,656.98,1843,0,0,1084,365,36,207
5/10/2016,36,36-S. PRESA ST.,292.14,753,0,0,431,150,25.54,89
5/10/2016,42,42-ROOSEVELT,547.98,1342,0,0,808,303,29.75,152
5/10/2016,43,43-S. FLORES,483.34,1283,0,0,747,259,18.47,113
5/10/2016,44,44-PLEASANTON RD.,540.55,1343,0,0,749,288,27.7,152
5/10/2016,46,46-COMMERCIAL,254.38,565,0,0,329,134,20.45,69
5/10/2016,48,48-IH 35 South Express,12.45,47,0,0,17,11,0.4,2
5/10/2016,51,51-NOGALITOS STREET,483.26,1354,0,0,827,261,27.1,132
5/10/2016,54,54-S.MAIN,75.61,185,0,0,100,42,2.13,17
5/10/2016,62,62-KELLY U.S.A.,188.52,483,0,0,295,108,9.86,49
5/10/2016,64,64-KLAC/SEA WORLD/N.W. VISTA    ,224.55,746,0,0,506,128,23.53,31
5/10/2016,66,66-CERALVO,464.72,1288,1,0,720,236,28.02,146
5/10/2016,67,67-LAREDO,219.87,636,0,0,358,116,10.03,64
5/10/2016,68,68-GUADALUPE,764.76,2461,0,0,1494,400,35.19,208
5/10/2016,70,70-DURANGO,52,176,0,0,99,29,2.57,15
5/10/2016,75,75-WEST COMMERCE,826.87,2584,0,0,1602,449,51.02,238
5/10/2016,76,76-OLD HWY. 90 W.,652.47,2283,0,0,1601,364,58.72,228
5/10/2016,77,77-MARTIN ST.,211.04,608,0,0,358,115,10.19,59
5/10/2016,79,79-RUIZ ST.,379.3,1307,0,0,795,212,23.36,114
5/10/2016,82,82-CULEBRA,815.41,2190,0,0,1353,435,46.76,225
5/10/2016,88,88-BANDERA RD.,753.78,1860,0,0,1083,407,37.3,209
5/10/2016,89,89-DONALDSON,364.16,1078,0,0,628,182,20.67,115
5/10/2016,90,90-BABCOCK RD.,338.69,1034,0,0,634,187,38.47,120
5/10/2016,93,93-CROSS./UTSA/P/R EXP.,113.51,605,0,0,249,61,9.43,17
5/10/2016,94,94-FIESTA/UTSA/EXPRESS          ,129.03,557,0,0,284,71,4.53,12
5/10/2016,95,95-Fredericksburg Rd.,282.04,1042,1,0,656,155,8.72,82
5/10/2016,96,96-VANCE JACKSON RD.,859.09,2326,0,0,1464,450,35.18,217
5/10/2016,97,97-WEST AVENUE,617.18,1800,0,0,1124,350,36.09,182
5/10/2016,100,100 - PRIMO FREDRICKSBURG RD.,1366.54,5653,1,0,3797,779,72.85,379
5/10/2016,301,301-RED                         ,189.75,329,0,0,168,124,10.22,33
5/10/2016,305,305-BLUE                        ,44.25,173,0,0,115,29,5.13,18
5/10/2016,333,333-E-Route,0,16,0,0,0,0,0,0
5/10/2016,502,502-THOUSAND OAKS               ,337.8,1066,0,0,714,189,15.76,94
